spotify_id,track_name,artist_name,spotify_release_date,discogs_title,discogs_year
1or7R43FPk2oyNed5oTeOJ,saca el guisky cheli,Desmadre 75,1998,"Desmadre 75 - ¡Aquí Está El Güisky, Cheli!",1975
7o2CTH4ctstm8TNelqjb51,sweet child o' mine,Guns N' Roses,1987-07-21,Guns N' Roses - Sweet Child O' Mine,1988
7inx0uAxXtUiyVuvoZRsc7,quisiera ser,Duo Dinamico,1987,Dúo Dinámico - Quisiera Ser,1961
7M6CFruBrM5x7u0lTMtm6r,cómo te atreves,Morat,2016-06-17,Morat (2) - Como Te Atreves,2015
14MgTooapmJdLlEMAr2zAM,dilemma (feat. kelly rowland),Nelly,2002-10-22,Nelly - MP3 Collection,2004
3nvuPQTw2zuFAVuLsC9IYQ,nothing compares 2 u,Sinéad O'Connor,1990-07-01,Sinéad O'Connor - Jump In The River,1988
11d9oUiwHuYt216EFA2tiz,ice ice baby,Vanilla Ice,1990-01-01,Vanilla Ice - Ice Ice Baby,1990
6lGrDctccq26IsZ2MDTxZU,"amor, amor",Lolita,2013-10-25,Lolita Garrido - 2º Festival De La Canción Mediterránea,1960
0YZ3J8xzGwLOg4yEgST1YK,with a little help from my friends,Joe Cocker,1969-05-01,Joe Cocker - With A Little Help From My Friends,1968
6JNJERZGJwDVgkmbohBw7u,self control,Laura Branigan,1984,Laura Branigan - Self Control,1984
7FwBtcecmlpc1sLySPXeGE,dancing in the dark,Bruce Springsteen,1984-06-04,Bruce Springsteen - Dancing In The Dark,1984
4QkQmdvFjEVvjc1ONi6t6N,bailar pegados,Sergio Dalma,1991-01-01,Sergio Dalma - Bailar Pegados - Eurovisión 1.991,1991
3v1dCP3hk2djfWryqfp7sx,caminando por la vida,Melendi,2005,Melendi - Caminando Por la Vida,2005
2374M0fQpWi3dLnB54qaLX,africa,TOTO,1982-04-08,Toto - Africa,1982
4d6eqRtpDX7tydHJGDZUBQ,she drives me crazy,Fine Young Cannibals,1988-01-01,Fine Young Cannibals - She Drives Me Crazy,1988
2G0GextMwZJLkNxcSZ7ZJ3,(what a) wonderful world - mono,Sam Cooke,1960-02,Sam Cooke - The Complete Keen Years: 1957-1960,2020
0Gx4VrHzS7pZOEAGrmXXBH,la bicicleta,Carlos Vives,2017-11-10,Carlos Vives & Shakira - La Bicicleta,2016
42ydLwx4i5V49RXHOozJZq,scars to your beautiful,Alessia Cara,2016-03-11,Alessia Cara - Know-It-All,2015
20I6sIOMTCkB6w7ryavxtO,call me maybe,Carly Rae Jepsen,2012-01-01,Carly Rae Jepsen - Call Me Maybe,2011
5oQadhkuEdEhtdVn0QceyZ,se fué,Laura Pausini,1994-11-22,Laura Pausini - Se Fue,1994
1qPbGZqppFwLwcBC1JQ6Vr,wonderwall,Oasis,1995-10-02,Oasis (2) - Wonderwall,1995
